t,r,y,u
0.00000000,50.00000000,36.75000000,4.82115889
0.80000000,50.00000000,36.62500000,4.88456011
1.60000000,50.00000000,36.68750000,4.87990618
2.40000000,50.00000000,36.75000000,4.87516785
3.20000000,50.00000000,36.75000000,4.89308596
4.00000000,50.00000000,36.81250000,4.88826323
4.80000000,50.00000000,36.87500000,4.88335562
5.60000000,50.00000000,36.87500000,4.90110493
6.40000000,50.00000000,36.93750000,4.89611292
7.20000000,50.00000000,37.00000000,4.89103651
8.00000000,50.00000000,37.00000000,4.90861654
8.80000000,50.00000000,37.00000000,4.92619705
9.60000000,50.00000000,37.06250000,4.92103577
10.40000000,50.00000000,37.06250000,4.93853188
11.20000000,50.00000000,37.12500000,4.93328619
12.00000000,50.00000000,37.12500000,4.95069742
12.80000000,50.00000000,37.18750000,4.94536734
13.60000000,50.00000000,37.18750000,4.96269417
14.40000000,50.00000000,37.18750000,4.98002052
15.20000000,50.00000000,37.25000000,4.97460604
16.00000000,50.00000000,37.25000000,4.99184847
16.80000000,50.00000000,37.25000000,5.00909042
17.60000000,50.00000000,37.31250000,5.00359154
18.40000000,50.00000000,37.31250000,5.02074909
19.20000000,50.00000000,37.31250000,5.03790665
20.00000000,50.00000000,37.31250000,5.05506420
20.80000000,50.00000000,37.31250000,5.07222223
21.60000000,50.00000000,37.37500000,5.06663847
22.40000000,50.00000000,37.37500000,5.08371162
23.20000000,50.00000000,37.37500000,5.10078478
24.00000000,50.00000000,37.37500000,5.11785793
24.80000000,50.00000000,37.43750000,5.11218977
25.60000000,50.00000000,37.43750000,5.12917852
26.40000000,50.00000000,37.50000000,5.12342548
27.20000000,50.00000000,37.43750000,5.16307116
28.00000000,50.00000000,37.50000000,5.15731859
28.80000000,50.00000000,37.50000000,5.17422247
29.60000000,50.00000000,37.50000000,5.19112682
30.40000000,60.00000000,37.50000000,8.84664154
31.20000000,60.00000000,37.50000000,8.87706852
32.00000000,60.00000000,37.62500000,8.86201382
32.80000000,60.00000000,37.75000000,8.84678936
33.60000000,60.00000000,37.93750000,8.80865479
34.40000000,60.00000000,38.06250000,8.79300785
35.20000000,60.00000000,38.12500000,8.79993343
36.00000000,60.00000000,38.25000000,8.78403282
36.80000000,60.00000000,38.37500000,8.76796341
37.60000000,60.00000000,38.43750000,8.77446556
38.40000000,60.00000000,38.56250000,8.75814342
39.20000000,60.00000000,38.62500000,8.76439190
40.00000000,60.00000000,38.75000000,8.74781513
40.80000000,60.00000000,38.81250000,8.75381088
41.60000000,60.00000000,38.93750000,8.73698139
42.40000000,60.00000000,39.00000000,8.74272346
43.20000000,60.00000000,39.06250000,8.74838066
44.00000000,60.00000000,39.18750000,8.73121262
44.80000000,60.00000000,39.25000000,8.73661613
45.60000000,60.00000000,39.31250000,8.74193573
46.40000000,60.00000000,39.37500000,8.74717045
47.20000000,60.00000000,39.43750000,8.75232124
48.00000000,60.00000000,39.50000000,8.75738716
48.80000000,60.00000000,39.56250000,8.76236820
49.60000000,60.00000000,39.62500000,8.76726532
50.40000000,60.00000000,39.68750000,8.77207756
51.20000000,60.00000000,39.75000000,8.77680588
52.00000000,60.00000000,39.87500000,8.75870800
52.80000000,60.00000000,39.87500000,8.78592300
53.60000000,60.00000000,39.93750000,8.79039764
54.40000000,60.00000000,40.00000000,8.79478741
55.20000000,60.00000000,40.06250000,8.79909229
56.00000000,60.00000000,40.12500000,8.80331326
56.80000000,60.00000000,40.18750000,8.80744934
57.60000000,60.00000000,40.25000000,8.81150150
58.40000000,60.00000000,40.25000000,8.83821011
59.20000000,60.00000000,40.37500000,8.81943512
60.00000000,60.00000000,40.37500000,8.84597492
60.80000000,60.00000000,40.43750000,8.84977341
