t,r,y,u
0.00000000,50.00000000,49.75000000,22.43432999
0.00000000,40.00000000,49.75000000,0.00000000
0.80000000,40.20000076,49.93750000,0.00000000
1.60000000,40.40000153,49.62500000,0.00000000
2.40000000,40.59999847,49.12500000,0.00000000
3.20000000,40.79999924,48.62500000,0.00000000
4.00000000,41.00000000,48.18750000,0.00000000
4.80000000,41.20000076,47.68750000,0.00000000
5.60000000,41.40000153,47.31250000,0.00000000
6.40000000,41.59999847,46.87500000,0.00000000
7.20000000,41.79999924,46.43750000,0.69383526
8.00000000,42.00000000,46.12500000,0.00000000
8.80000000,42.20000076,45.81250000,0.00000000
9.60000000,42.40000153,45.50000000,0.88953018
10.40000000,42.59999847,45.12500000,4.52919626
11.20000000,42.79999924,44.87500000,5.16685867
12.00000000,43.00000000,44.68750000,5.42706394
12.80000000,43.20000076,44.56250000,5.23705864
13.60000000,43.40000153,44.43750000,6.29202652
14.40000000,43.59999847,44.31250000,8.17778587
15.20000000,43.79999924,44.18750000,10.71684265
16.00000000,44.00000000,44.12500000,12.04958820
16.80000000,44.20000076,44.12500000,12.46247196
17.60000000,44.40000153,44.18750000,12.02123070
18.40000000,44.59999847,44.31250000,10.69687748
19.20000000,44.79999924,44.37500000,11.98688412
20.00000000,45.00000000,44.50000000,11.59908104
20.80000000,45.20000076,44.56250000,13.48485088
21.60000000,45.40000153,44.62500000,15.33018112
22.40000000,45.59999847,44.81250000,13.71686459
23.20000000,45.79999924,45.00000000,12.91397858
24.00000000,46.00000000,45.18750000,12.46996689
24.80000000,46.20000076,45.25000000,15.75819588
25.60000000,46.40000153,45.37500000,16.70699501
26.40000000,46.59999847,45.50000000,17.86221313
27.20000000,46.79999924,45.75000000,15.60756683
28.00000000,47.00000000,46.00000000,14.12705040
28.80000000,47.20000076,46.12500000,16.49972153
29.60000000,47.40000153,46.12500000,21.87810707
30.40000000,47.59999847,46.12500000,26.44611931
31.20000000,47.79999924,46.31250000,25.49906731
32.00000000,48.00000000,46.62500000,22.05466843
32.80000000,48.20000076,46.93750000,19.71856117
33.60000000,48.40000153,47.18750000,19.53827477
34.40000000,48.59999847,47.37500000,20.87915421
35.20000000,48.79999924,47.56250000,21.74276161
36.00000000,49.00000000,47.81250000,20.62969589
36.80000000,49.20000076,48.06250000,19.76432419
