t,r,y,u
0.00000000,50.00000000,40.00000000,0.00000000
0.80000000,50.00000000,39.75000000,34.65975952
1.60000000,50.00000000,39.50000000,64.33856964
2.40000000,50.00000000,40.25000000,80.74684143
3.20000000,50.00000000,42.00000000,81.32836914
4.00000000,50.00000000,44.25000000,70.48171997
4.80000000,50.00000000,46.43750000,54.75288773
5.60000000,50.00000000,48.12500000,40.38705063
6.40000000,50.00000000,49.31250000,28.66240120
7.20000000,50.00000000,49.87500000,22.59565163
8.00000000,50.00000000,50.06250000,20.30712509
8.80000000,50.00000000,50.00000000,21.01668358
9.60000000,50.00000000,49.93750000,21.88603210
10.40000000,50.00000000,49.81250000,23.78451920
11.20000000,50.00000000,49.81250000,24.26382828
12.00000000,50.00000000,49.81250000,24.74313736
12.80000000,50.00000000,49.87500000,24.35309792
13.60000000,50.00000000,50.00000000,22.93391991
14.40000000,50.00000000,50.12500000,21.19522285
15.20000000,50.00000000,50.12500000,20.87570381
16.00000000,50.00000000,50.12500000,20.55618477
16.80000000,50.00000000,50.12500000,20.23666573
17.60000000,50.00000000,50.12500000,19.91714668
18.40000000,50.00000000,50.06250000,20.46697617
19.20000000,50.00000000,50.06250000,20.30718613
20.00000000,50.00000000,50.06250000,20.14739609
20.80000000,50.00000000,50.06250000,19.98760605
21.60000000,50.00000000,50.12500000,18.95846748
22.40000000,50.00000000,50.06250000,19.50829697
23.20000000,50.00000000,50.06250000,19.34850693
24.00000000,50.00000000,50.00000000,20.05806541
24.80000000,50.00000000,50.00000000,20.05806541
25.60000000,50.00000000,50.06250000,19.18871689
26.40000000,50.00000000,50.00000000,19.89827538
27.20000000,50.00000000,50.00000000,19.89827538
28.00000000,50.00000000,50.00000000,19.89827538
28.80000000,50.00000000,50.00000000,19.89827538
29.60000000,50.00000000,50.00000000,19.89827538
30.40000000,50.00000000,50.06250000,19.02892685
31.20000000,50.00000000,50.06250000,18.86913681
32.00000000,50.00000000,50.00000000,19.57869530
32.80000000,50.00000000,50.00000000,19.57869530
33.60000000,50.00000000,50.00000000,19.57869530
34.40000000,50.00000000,50.00000000,19.57869530
35.20000000,50.00000000,50.06250000,18.70934677
36.00000000,50.00000000,50.06250000,18.54955673
36.80000000,50.00000000,50.00000000,19.25911522
37.60000000,50.00000000,50.00000000,19.25911522
38.40000000,50.00000000,50.00000000,19.25911522
39.20000000,50.00000000,49.93750000,20.12846375
40.00000000,50.00000000,49.93750000,20.28825378
40.80000000,50.00000000,49.93750000,20.44804382
41.60000000,50.00000000,50.00000000,19.73848534
42.40000000,50.00000000,50.00000000,19.73848534
43.20000000,50.00000000,50.06250000,18.86913681
44.00000000,50.00000000,50.06250000,18.70934677
44.80000000,50.00000000,50.06250000,18.54955673
45.60000000,50.00000000,50.00000000,19.25911522
46.40000000,50.00000000,49.93750000,20.12846375
47.20000000,50.00000000,49.93750000,20.28825378
48.00000000,50.00000000,50.00000000,19.57869530
48.80000000,50.00000000,50.00000000,19.57869530
49.60000000,50.00000000,50.06250000,18.70934677
50.40000000,50.00000000,50.06250000,18.54955673
51.20000000,50.00000000,50.00000000,19.25911522
52.00000000,50.00000000,50.00000000,19.25911522
52.80000000,50.00000000,49.93750000,20.12846375
53.60000000,50.00000000,49.93750000,20.28825378
54.40000000,50.00000000,49.93750000,20.44804382
55.20000000,50.00000000,50.00000000,19.73848534
56.00000000,50.00000000,50.06250000,18.86913681
56.80000000,50.00000000,50.06250000,18.70934677
57.60000000,50.00000000,50.00000000,19.41890526
58.40000000,50.00000000,49.93750000,20.28825378
59.20000000,50.00000000,50.00000000,19.57869530
60.00000000,60.00000000,49.93750000,20.44804382
60.80000000,60.00000000,50.00000000,45.30080414
61.60000000,60.00000000,50.06250000,69.99383545
62.40000000,60.00000000,50.87500000,84.09489441
